LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.;Powiat
730;153220240;RACZKI;Netta (2622);53 59 27;22 47 10;;suwalski
731;153220250;DOLISTOWO STARE;Biebrza (262);53 33 12;22 54 25;;moniecki
732;153220260;DĘBOWO;Biebrza (262);53 36 35;22 55 49;;augustowski
733;153220270;BABINO;Narew (26);53 09 15;22 56 33;;białostocki
734;153220280;BIAŁOBRZEGI;Netta (2622);53 48 15;22 57 59;;augustowski
735;153220290;SZCZEBRA;Blizna (26224);53 54 22;22 58 31;;augustowski
736;153220310;CZARNA WIEŚ;Kanał Kuwasy (262898);53 42 40;22 38 22;;grajewski
737;153230010;FASTY;Supraśl (2616);53 10 43;23 01 36;;białostocki
738;153230020;KARPOWICZE;Brzozówka (2624);53 35 07;23 02 36;;sokólski
739;153230060;ZAWADY;Biała (26168);53 09 37;23 06 24;;Białystok
740;153230070;SZTABIN;Biebrza (262);53 40 19;23 06 59;;augustowski
741;153230080;SOCHONIE;Czarna (26166);53 13 01;23 10 50;;białostocki
742;153230110;SUPRAŚL;Supraśl (2616);53 12 45;23 20 18;;białostocki
743;153230120;JAŁOWY RÓG;Czarna Hańcza (64);53 54 00;23 24 21;;augustowski
744;153230130;HARASIMOWICZE;Sidra (26214);53 39 45;23 26 56;;sokólski
745;153230140;SOKOŁDA;Sokołda (26162);53 14 50;23 28 35;;białostocki
746;153230160;Gródek;Supraśl (2616);53 05 42;23 40 18;;białostocki
747;153230170;NOWOSIÓŁKI;Supraśl (2616);53 10 24;23 31 48;;białostocki
748;154150010;Trzebiatów;Rega (42);54 03 49;15 15 39;;gryficki
749;154150030;Kołobrzeg;Morze Bałtyckie (0);54 11 12;15 33 12;;kołobrzeski
750;154150040;Bardy;Parsęta (44);54 05 30;15 42 50;;kołobrzeski
751;154150050;Białogard;Parsęta (44);54 00 11;15 58 35;;białogardzki
752;154150060;Rościęcino;Parsęta (44);54 06 55;15 36 26;;kołobrzeski
753;154150070;Karlino;Parsęta (44);54 02 20;15 52 10;;białogardzki
754;154160020;Białogórzyno;Radew (448);54 03 45;16 07 00;;koszaliński
755;154160030;Koszalin;Dzierżęcinka (45614);54 11 08;16 11 20;;Koszalin
756;154160060;Grabowo;Grabowa (468);54 17 54;16 26 15;;sławieński
757;154160070;Stary Kraków;Wieprza (46);54 26 32;16 36 23;;sławieński
758;154160080;Cybulino;Radew (448);54 02 25;16 37 04;;koszaliński
759;154160090;Krąg;Grabowa (468);54 14 34;16 43 23;;sławieński
760;154160100;Pieszcz;Moszczeniczka (4672);54 27 26;16 46 11;;sławieński
761;154160110;Ustka;Morze Bałtyckie (0);54 35 17;16 51 14;;słupski
762;154160120;Korzybie;Wieprza (46);54 16 50;16 52 42;;słupski
763;154160130;Ciecholub;Studnica (464);54 09 57;16 54 07;;słupski
764;154160140;Charnowo;Słupia (472);54 32 46;16 55 39;;słupski
765;154160150;Darłowo;Morze Bałtyckie (0);54 26 21;16 22 49;;sławieński
766;154160160;Zielnowo;Wieprza (46);54 26 31;16 28 32;;sławieński
767;154169997;Sławno;Wieprza (46);54 21 57;16 41 18;;sławieński
768;154170010;Słupsk;Słupia (472);54 28 12;17 01 52;;Słupsk
769;154170020;Krępa;Glaźna (4728);54 25 07;17 02 57;;słupski
770;154170030;Skarszów Dolny;Skotawa (4726);54 21 54;17 07 07;;słupski
771;154170040;Kwisno;Wieprza (46);54 05 06;17 07 49;;bytowski
772;154170060;Smołdzino;Łupawa (474);54 39 42;17 12 53;;słupski
773;154170070;Gałążnia Mała;Słupia (472);54 17 18;17 18 06;;bytowski
774;154170080;Łupawa;Łupawa (474);54 25 10;17 24 56;;słupski
775;154170090;Izbica;Jez. Łebsko (Łeba) (476);54 40 52;17 25 41;;słupski
776;154170100;Łeba;Morze Bałtyckie (0);54 45 48;17 33 02;;lęborski
777;154170110;Cecenowo;Łeba (476);54 39 16;17 33 51;;słupski
778;154170120;Soszyca;Słupia (472);54 15 00;17 34 47;;bytowski
779;154170130;Pogorzelice;Pogorzelica (4764);54 29 18;17 35 43;;lęborski
780;154170150;Zawiaty;Łupawa (474);54 19 57;17 37 13;;bytowski
781;154170160;Lębork;Łeba (476);54 32 31;17 44 50;;lęborski
782;154170180;Wawrzynowo;Wda (294);54 02 44;17 53 51;;kościerski
783;154170190;Borucino;Jez. Raduńskie Górne (Radunia) (4868);54 15 12;17 59 29;;kartuski
784;154170230;Obrowo;Łupawa (474);54 15 46;17 35 57;;bytowski
785;154170240;Borucino;Borucinka (48681152);54 15 20;17 58 48;;kartuski
786;154170320;Głuszynko;Darżyńska Struga (47436);54 29 35;17 27 11;;słupski
787;154170330;Łebsko;Morze Bałtyckie (0);54 45 11;17 32 12;;lęborski
788;154170340;Żelkówko;Słupia (472);54 21 37;17 05 05;;słupski
789;154179991;Stężyca;Radunia (4868);54 12 24;17 57 16;;kartuski
790;154179998;Damno;Łupawa (474);54 31 45;17 19 34;;słupski
791;154180010;Sarnowy;Wierzyca (298);54 04 22;18 00 58;;kościerski
792;154180020;Miłoszewo;Łeba (476);54 26 24;18 01 46;;wejherowski
793;154180030;Zamostne;Reda (478);54 39 01;18 06 12;;wejherowski
794;154180040;Ostrzyce;Jez. Ostrzyckie (Radunia) (4868);54 15 23;18 06 41;;kartuski
795;154180050;Warszkowski Młyn;Piaśnica (4772);54 41 30;18 09 11;;wejherowski
796;154180060;Goręczyno;Radunia (4868);54 15 49;18 09 53;;kartuski
797;154180070;Bolszewo;Bolszewka (4784);54 36 39;18 10 00;;wejherowski
798;154180080;Wejherowo;Reda (478);54 36 48;18 13 30;;wejherowski
799;154180090;Puck;Morze Bałtyckie (0);54 43 21;18 24 39;;pucki
800;154180100;Władysławowo;Morze Bałtyckie (0);54 47 48;18 25 07;;pucki
801;154180110;Zapowiednik;Wierzyca (298);54 02 19;18 28 10;;starogardzki
802;154180120;Gdynia;Morze Bałtyckie (0);54 31 04;18 33 19;;Gdynia
803;154180140;Gdańsk;Morze Bałtyckie (0);54 23 59;18 41 53;;Gdańsk
804;154180150;Tczew;Wisła (2);54 05 14;18 48 20;;tczewski
805;154180160;Gdańsk Sobieszewo;Martwa Wisła (48);54 20 47;18 48 55;;Gdańsk
806;154180170;Wiślina;Motława (486);54 18 27;18 43 31;;gdański
807;154180180;Suchy Dąb;Bielawa (4864);54 13 53;18 43 55;;gdański
808;154180190;Gdańsk Przegalina;Wisła (2);54 18 38;18 55 45;;Gdańsk
809;154180200;Gdańsk Świbno;Wisła (2);54 20 11;18 56 08;;Gdańsk
810;154180210;Gdańsk Ujście Wisły;Wisła (2);54 21 10;18 56 35;;Gdańsk
811;154180220;Gdańska Głowa;Wisła (2);54 16 01;18 57 05;;nowodworski
812;154180230;Borucino;Radunia (4868);54 15 10;17 59 46;;kartuski
813;154180260;Pruszcz Gdański;Kanał Raduński (48696);54 15 12;18 37 48;;gdański
814;154180270;Pruszcz Gdański;Radunia (4868);54 15 00;18 37 49;;gdański
815;154180280;Dębki;Morze Bałtyckie (0);54 49 53;18 03 45;;pucki
816;154180290;Reda-Cedron;Reda (478);54 36 35;18 16 09;;wejherowski
817;154180300;Skarszewy;Wietcisa (2984);54 03 24;18 25 45;;starogardzki
818;154190010;Nowy Dwór Gdański;Tuja (5146);54 12 52;19 06 47;;nowodworski
819;154190020;Tujsk;Szkarpawa (514);54 17 03;19 08 18;;nowodworski
820;154190030;Osłonka;Zalew Wiślany (5119);54 15 54;19 14 41;;nowodworski
821;154190040;Nowotki;Nogat (52);54 15 09;19 18 00;;elbląski
822;154190050;Nowakowo;Zalew Wiślany (5119);54 13 50;19 21 47;;elbląski
823;154190060;Elbląg;Elbląg (54);54 10 19;19 23 16;;Elbląg
824;154190070;Krynica Morska;Zalew Wiślany (5119);54 22 43;19 26 43;;nowodworski
825;154190080;Żukowo;Jez.Druzno (5459999);54 06 10;19 27 03;;elbląski
826;154190090;Tolkmicko;Zalew Wiślany (5119);54 19 24;19 31 23;;elbląski
827;154190100;Pasłęk;Wąska (5456);54 04 14;19 39 36;;elbląski
828;154190110;Nowe Sadłuki;Bauda (558);54 15 37;19 42 42;;elbląski
829;154190130;Nowa Pasłęka;Zalew Wiślany (5119);54 25 33;19 44 46;;braniewski
830;154190140;Braniewo;Pasłęka (56);54 23 03;19 49 35;;braniewski
831;154190150;Pierzchały 2;Pasłęka (56);54 18 02;19 50 56;;braniewski
832;154190160;Pierzchały;Pasłęka (56);54 18 03;19 50 56;;braniewski
833;154190170;Łozy;Pasłęka (56);54 11 41;19 57 03;;braniewski
834;154190180;NOWY ŚWIAT- UJŚCIE;Morze Bałtyckie (0);54 21 50;19 18 40;;nowodworski
835;154200010;Bornity;Wałsza (568);54 11 09;20 02 52;;braniewski
836;154200020;Krosno;Drwęca Warmińska (566);54 07 51;20 10 22;;lidzbarski
837;154200030;SMOLAJNY;Łyna (584);54 01 33;20 23 49;;olsztyński
838;154200040;PIASECZNO;Elma (58474);54 13 10;20 33 01;;bartoszycki
839;154209999;Olkowo;Pasłęka (56);54 06 21;20 02 18;;lidzbarski
840;154210010;SĘPOPOL;Łyna (584);54 15 58;21 00 21;;bartoszycki
841;154210020;PROSNA;Guber (5848);54 14 01;21 05 12;;kętrzyński
842;154210030;BYKOWO;Sajna (58488);54 13 14;21 06 38;;kętrzyński
843;154210060;PRZYSTAŃ;Jez. Mamry (Węgorapa) (582);54 11 27;21 39 01;;węgorzewski
844;154210070;WĘGORZEWO;Węgorapa (582);54 13 36;21 43 51;;węgorzewski
845;154210080;PRYNOWO;Węgorapa (582);54 14 39;21 43 12;;węgorzewski
846;154210090;GIŻYCKO;Pisa (264);54 02 08;21 45 40;;giżycki
847;154210100;MIEDUNISZKI;Węgorapa (582);54 19 35;21 58 48;;gołdapski
848;154210110;Smokowo;Dejna (58482);54 03 58;21 19 25;;kętrzyński
849;154220010;BANIE MAZURSKIE;Gołdapa (5824);54 14 52;22 01 47;;gołdapski
850;154220030;MAŁE WRONKI;Ełk (2628);54 01 18;22 13 19;;olecki
851;154220050;JURKISZKI;Gołdapa (5824);54 18 33;22 22 05;;
852;154220070;WÓLKA;Jez. Rospuda Filipowska (Netta) (2622);54 12 14;22 37 00;;
853;154220090;BRÓD STARY;Czarna Hańcza (64);54 08 04;22 52 50;;
854;154220100;KLESZCZÓWEK;Szeszupa (68);54 16 15;22 54 38;;
855;154220110;GOŁDAP 2;Gołdapa (5824);54 18 46;22 18 43;;
856;154230010;POSZESZUPIE;Szeszupa (68);54 20 40;23 01 15;;
857;154230030;CZERWONY FOLWARK;Czarna Hańcza (64);54 04 11;23 07 02;;
858;154230040;ZELWA;Marycha (648);54 01 37;23 27 31;;
