LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.;Powiat
1;249170080;Dzierżkowice;Opawa (112);49 59 32;17 50 47;270.0;głubczycki
2;249180010;Pszczyna;Pszczynka (2116);49 59 44;18 55 09;270.0;pszczyński
3;249180020;Warszowice;Pszczynka (2116);49 59 31;18 42 20;270.0;pszczyński
4;249180030;Chałupki;Odra (1);49 55 33;18 19 39;198.0;raciborski
5;249180070;Mazańcowice;Wapienica (21128);49 51 45;18 58 10;269.0;bielski
6;249180090;Rudzica;Iłownica (2112);49 51 12;18 52 57;337.0;bielski
7;249180130;Cieszyn;Olza (114);49 45 15;18 38 54;295.0;cieszyński
8;249180150;Wapienica;Wapienica (21128);49 46 25;18 58 24;456.0;Bielsko-Biała
9;249180160;BRENNA;Brennica (21114);49 45 13;18 52 15;350.0;cieszyński
10;249180170;Błatnia;Brennica (21114);49 44 49;18 56 33;882.0;cieszyński
11;249180180;Równica, wieś;Wisła (2);49 43 11;18 51 09;768.0;cieszyński
12;249180210;SZCZYRK;Soła (2132);49 42 11;18 59 41;600.0;bielski
13;249180220;CZANTORIA;Wisła (2);49 41 00;18 49 11;842.0;cieszyński
14;249180230;WISŁA;Wisła (2);49 39 17;18 51 41;430.0;cieszyński
15;249180240;WISŁA-MALINKA;Malinka (21112);49 38 41;18 58 03;685.0;cieszyński
16;249180260;ISTEBNA-KUBALONKA;Olza (114);49 36 13;18 54 04;780.0;cieszyński
17;249180270;Istebna Młoda-Góra;Olza (114);49 34 50;18 51 43;786.0;cieszyński
18;249180280;ISTEBNA-STECÓWKA;Olza (114);49 35 07;18 56 25;735.0;cieszyński
19;249180390;BRENNA Leśnica;Leśnica (211146);49 42 36;18 54 11;426.0;cieszyński
20;249180410;ISTEBNA-WIEŚ;Olza (114);49 34 08;18 53 32;578.0;cieszyński
21;249180520;RUDZICA;Iłownica (2112);49 51 14;18 52 51;345.0;bielski
22;249180530;ISTEBNA-STECÓWKA;Olza (114);49 35 05;18 56 16;725.0;cieszyński
23;249180550;Cieszyn;Olza (114);49 46 30;18 36 33;255.0;cieszyński
24;249180570;Międzyrzecze Górne;Jasienica (21126);49 50 22;18 55 42;312.0;bielski
25;249180580;Goczałkowice-Zdrój;Wisła (2);49 56 18;18 56 02;259.0;pszczyński
26;249180590;Ruptawa;Olza (114);49 56 12;18 35 22;230.0;Jastrzębie-Zdrój
27;249180620;Kończyce Małe;Piotrówka (1146);49 51 08;18 38 20;242.0;cieszyński
28;249180630;Kiczyce;Wisła (2);49 49 18;18 47 59;283.0;cieszyński
29;249180640;Brenna-Brennica;Brennica (21114);49 43 24;18 54 27;403.0;cieszyński
30;249190010;JAWISZOWICE;Wisła (2);49 57 35;19 08 31;260.0;oświęcimski
31;249190030;LIBERTÓW;Wisła (2);49 58 21;19 53 42;318.0;krakowski
32;249190050;RADZISZÓW;Skawinka (21356);49 56 23;19 48 33;222.0;krakowski
33;249190060;SIEPRAW;Skawinka (21356);49 54 17;19 57 53;267.0;myślenicki
34;249190080;WADOWICE;Skawa (2134);49 52 55;19 31 07;259.0;wadowicki
35;249190090;INWAŁD;Skawa (2134);49 52 02;19 23 19;350.0;wadowicki
36;249190130;MIĘDZYBRODZIE BIALSKIE;Soła (2132);49 47 22;19 11 46;328.0;żywiecki
37;249190140;LESKOWIEC;Skawa (2134);49 47 44;19 26 48;872.0;suski
38;249190150;STRÓŻA;Raba (2138);49 47 47;19 55 03;330.0;myślenicki
39;249190170;BOGDANÓWKA;Raba (2138);49 45 34;19 47 17;812.0;myślenicki
40;249190190;MAKÓW PODH.;Skawa (2134);49 43 33;19 41 17;361.0;suski
41;249190210;ŁODYGOWICE;Soła (2132);49 43 27;19 09 37;375.0;żywiecki
42;249190220;ŚLEMIEŃ;Soła (2132);49 43 03;19 21 11;447.0;żywiecki
43;249190230;Lubień;Lubieńka (213834);49 43 15;19 58 12;429.0;myślenicki
44;249190240;LACHOWICE KRALE;Skawa (2134);49 41 18;19 25 04;616.0;suski
45;249190270;Osielec;Skawa (2134);49 40 44;19 44 20;439.0;suski
46;249190280;KRZECZÓW;Raba (2138);49 41 01;19 54 36;548.0;myślenicki
47;249190290;Lipowa;Soła (2132);49 39 58;19 04 36;530.0;żywiecki
48;249190310;Pewel Mała;Koszarawa (21324);49 39 39;19 18 21;425.0;żywiecki
49;249190320;LUBOŃ WIELKI;Raba (2138);49 39 12;19 59 32;1021.0;limanowski
50;249190340;KOSZARAWA;Soła (2132);49 39 21;19 24 16;595.0;żywiecki
51;249190350;ZAWOJA;Skawica (21344);49 36 42;19 31 07;697.0;suski
52;249190380;Kamesznica;Bystra (213232);49 34 12;19 03 52;470.0;żywiecki
53;249190390;MARKOWE SZCZAWINY;Skawa (2134);49 35 15;19 30 59;1193.0;suski
54;249190410;MILÓWKA;Soła (2132);49 33 33;19 04 46;485.0;żywiecki
55;249190420;Żabnica;Żabniczanka (213234);49 33 39;19 11 15;585.0;żywiecki
56;249190430;SOPOTNIA WIELKA;Soła (2132);49 34 54;19 17 58;745.0;żywiecki
57;249190440;KORBIELÓW;Soła (2132);49 34 07;19 20 54;650.0;żywiecki
58;249190460;SPYTKOWICE GÓRNE;Skawa (2134);49 33 52;19 45 42;639.0;nowotarski
59;249190470;Raba Wyżna;Raba (2138);49 33 53;19 52 54;536.0;nowotarski
60;249190480;LALIKI;Soła (2132);49 32 41;19 00 58;680.0;żywiecki
61;249190520;OBIDOWA;Raba (2138);49 32 39;19 58 07;805.0;nowotarski
62;249190530;PILSKO;Soła (2132);49 32 28;19 19 06;1278.0;żywiecki
63;249190540;RAJCZA;Soła (2132);49 30 22;19 06 19;495.0;żywiecki
64;249190560;JABŁONKA;Czarna Orawa (8222);49 28 20;19 41 45;614.0;nowotarski
65;249190580;RYCERKA GÓRNA;Soła (2132);49 25 35;19 00 30;710.0;żywiecki
66;249190610;RATUŁÓW;Wielki Rogoźnik (214116);49 23 30;19 53 01;679.0;nowotarski
67;249190620;BAŃSKA WYŻNA;Biały Dunajec (21412);49 23 03;19 58 24;896.0;nowotarski
68;249190630;WITÓW;Czarny Dunajec (21411);49 19 39;19 49 30;822.0;tatrzański
69;249190640;NOWE BYSTRE;Wielki Rogoźnik (214116);49 19 56;19 55 45;870.0;tatrzański
70;249190660;KOŚCIELISKO-KIRY;Kirowa Woda (214112);49 16 39;19 52 10;922.0;tatrzański
71;249190670;POLANA CHOCHOŁ.;Dunajec (214);49 14 13;19 47 19;1145.0;tatrzański
72;249190680;HALA ORNAK;Dunajec (214);49 13 45;19 51 34;1109.0;tatrzański
73;249190750;Soblówka;Soła (2132);49 26 15;19 08 54;702.0;żywiecki
74;249190770;Straconka;Biała (2114);49 47 38;19 06 26;450.0;Bielsko-Biała
75;249190780;Gubałówka;Wielki Rogoźnik (214116);49 18 20;19 55 47;1123.0;tatrzański
76;249190790;Ratułów;Wielki Rogoźnik (214116);49 23 30;19 53 03;679.0;nowotarski
77;249190810;Kalwaria Zebrzydowska.;Skawinka (21356);49 52 12;19 41 07;312.0;wadowicki
78;249190820;Koszarawa;Soła (2132);49 40 20;19 24 50;671.0;żywiecki
79;249190830;Kościelisko-Kiry;Kirowa Woda (214112);49 16 40;19 52 15;933.0;tatrzański
80;249190840;Rajcza;Soła (2132);49 30 29;19 06 55;505.0;żywiecki
81;249190850;Rycerka Górna;Soła (2132);49 25 33;19 00 29;720.0;żywiecki
82;249190860;Soblówka;Soła (2132);49 27 24;19 08 43;620.0;żywiecki
83;249190870;Ślemień;Soła (2132);49 42 57;19 22 28;480.0;żywiecki
84;249190880;Wadowice;Skawa (2134);49 52 38;19 30 40;265.0;wadowicki
85;249190890;RADZIECHOWY ;Soła (2132);49 38 55;19 09 20;395.0;żywiecki
86;249190920;LIPNICA WIELKA;Czarna Orawa (8222);49 32 16;19 32 43;819.0;nowotarski
87;249190960;Budzów;Skawa (2134);49 46 26;19 39 34;342.0;suski
88;249190970;Sidzina;Bystrzanka (21342);49 37 10;19 43 37;546.0;suski
89;249190980;Sucha Beskidzka;Skawa (2134);49 45 14;19 36 21;324.0;suski
90;249190990;Jordanów;Skawa (2134);49 38 35;19 50 30;534.0;suski
91;249191020;Skawica;Skawica (21344);49 41 11;19 40 01;409.0;suski
92;249191030;Kopytówka;Wisła (2);49 56 01;19 38 10;309.0;wadowicki
93;249200020;ŁAZY;Gróbka (21394);49 57 55;20 29 43;245.0;bocheński
94;249200050;STRADOMKA;Stradomka (21388);49 55 15;20 18 33;226.0;bocheński
95;249200060;Gnojnik;Uszwica (21396);49 53 43;20 35 18;310.0;brzeski
96;249200070;DOBCZYCE;Raba (2138);49 52 39;20 04 14;308.0;myślenicki
97;249200080;Łapanów;Stradomka (21388);49 52 31;20 17 01;265.0;bocheński
98;249200110;JODŁOWNIK;Stradomka (21388);49 46 15;20 13 29;384.0;limanowski
99;249200120;ROZDZIELE;Raba (2138);49 47 07;20 24 58;627.0;bocheński
100;249200130;JASTRZĘBIA;Biała (2148);49 47 11;20 53 47;288.0;tarnowski
101;249200140;WĘGLÓWKA;Raba (2138);49 45 01;20 04 28;512.0;myślenicki
102;249200180;LIMANOWA;Łososina (21472);49 41 37;20 25 06;515.0;limanowski
103;249200210;PÓŁRZECZKI;Łososina (21472);49 39 09;20 12 54;650.0;limanowski
104;249200220;ROZTOKA;Dunajec (214);49 38 25;20 23 00;815.0;limanowski
105;249200230;GRYBÓW;Biała (2148);49 37 11;20 56 53;335.0;nowosądecki
106;249200240;PTASZKOWA;Łubinka (21434);49 36 01;20 53 12;520.0;nowosądecki
107;249200250;JASIONÓW;Raba (2138);49 35 23;20 01 33;742.0;limanowski
108;249200260;ŁĄCKO;Dunajec (214);49 33 35;20 26 22;366.0;nowosądecki
109;249200270;TURBACZ;Dunajec (214);49 32 41;20 07 05;1273.0;nowotarski
110;249200280;ŁABOWA;Kamienica (21432);49 31 34;20 51 31;455.0;nowosądecki
111;249200290;OCHOTNICA GÓRNA;Dunajec (214);49 30 37;20 14 41;617.0;nowotarski
112;249200310;KOWANIEC;Dunajec (214);49 29 27;20 02 49;623.0;nowotarski
113;249200320;ŁOPUSZNA;Dunajec (214);49 28 27;20 07 25;570.0;nowotarski
114;249200330;STUDZIONKI;Dunajec (214);49 29 43;20 12 43;904.0;nowotarski
115;249200340;DĘBNO;Białka (214154);49 27 57;20 12 34;536.0;nowotarski
116;249200350;HUTA;Kamienica (21432);49 27 54;20 57 24;756.0;nowosądecki
117;249200360;MIZERNA;Dunajec (214);49 27 19;20 16 55;570.0;nowotarski
118;249200370;KROŚCIENKO;Dunajec (214);49 26 44;20 25 54;435.0;nowotarski
119;249200380;SZAFLARY;Biały Dunajec (21412);49 25 29;20 01 51;643.0;nowotarski
120;249200420;NIEDZICA;Niedziczanka (214172);49 25 04;20 18 57;534.0;nowotarski
121;249200440;JAWORZYNA KRYNIC.;Poprad (2142);49 25 04;20 53 43;1110.0;nowosądecki
122;249200450;BIAŁKA TATRZAŃSKA;Białka (214154);49 24 44;20 06 26;680.0;tatrzański
123;249200470;KRYNICA;Poprad (2142);49 24 28;20 57 39;582.0;nowosądecki
124;249200480;BUKOWINA;Białka (214154);49 20 15;20 05 54;902.0;tatrzański
125;249200490;MUSZYNA;Poprad (2142);49 20 59;20 53 11;445.0;nowosądecki
126;249200530;ŁYSA POLANA;Białka (214154);49 15 49;20 06 54;970.0;tatrzański
127;249200540;HALA GĄSIENICOWA;Dunajec (214);49 14 38;20 00 21;1523.0;tatrzański
128;249200550;DOLINA 5 STAWÓW;Dunajec (214);49 12 49;20 02 52;1674.0;tatrzański
129;249200570;TRZEMEŚNIA;Raba (2138);49 48 45;20 00 46;347.0;myślenicki
130;249200910;MORSKIE OKO;Rybi Potok (2141542);49 12 04;20 04 17;1400.0;tatrzański
131;249200920;PIWNICZNA;Poprad (2142);49 25 30;20 43 23;380.0;nowosądecki
132;249200930;PORONIN;Biały Dunajec (21412);49 19 49;20 02 07;776.0;tatrzański
133;249200950;Szaflary;Biały Dunajec (21412);49 24 58;20 01 31;636.0;nowotarski
134;249200960;NOWY TARG-KOWANIEC;Dunajec (214);49 29 11;20 03 18;590.0;nowotarski
135;249200980;MSZANA DOLNA;Raba (2138);49 39 49;20 03 16;440.0;limanowski
136;249200990;WRONOWICE;Łososina (21472);49 44 11;20 35 26;270.0;nowosądecki
137;249201010;SIERCZA;Wisła (2);49 58 21;20 02 02;336.0;wielicki
138;249201020;Ostrowsko;Dunajec (214);49 28 48;20 05 38;568.0;nowotarski
139;249201030;Dobra;Łososina (214734);49 43 39;20 16 24;427.0;limanowski
140;249201050;Królówka;Raba (2138);49 53 14;20 26 00;291.0;bocheński
141;249201060;Tylmanowa;Ochotnica (2141976);49 31 05;20 23 15;404.0;nowotarski
142;249210010;PILZNO;Wisłoka (218);49 59 14;21 18 30;195.0;dębicki
143;249210030;TUCHÓW;Biała (2148);49 54 14;21 02 51;220.0;tarnowski
144;249210040;ŻARNOWA;Wisłok (226);49 52 40;21 48 59;220.0;strzyżowski
145;249210070;BIECZ-GRUDNA;Ropa (2182);49 44 07;21 17 44;285.0;gorlicki
146;249210080;JASŁO;Jasiołka (2184);49 44 08;21 29 06;228.0;jasielski
147;249210090;GORLICE;Sękówka (21826);49 39 19;21 10 16;300.0;gorlicki
148;249210120;NOWY ŻMIGRÓD;Wisłoka (218);49 36 42;21 32 00;300.0;jasielski
149;249210130;Zboiska;Jasiołka (2184);49 34 39;21 41 45;320.0;krośnieński
150;249210140;DUKLA;Jasiołka (2184);49 34 01;21 40 50;385.0;krośnieński
151;249210150;IWONICZ-ZDRÓJ;Wisłok (226);49 34 02;21 47 18;425.0;krośnieński
152;249210160;ORZECHÓWKA;Wisłok (226);49 43 00;21 57 41;310.0;brzozowski
153;249210170;BARTNE;Sękówka (21826);49 33 31;21 20 44;540.0;gorlicki
154;249210180;KREMPNA;Wisłoka (218);49 30 57;21 29 22;380.0;jasielski
155;249210190;WISŁOCZEK;Wisłok (226);49 30 03;21 51 56;520.0;krośnieński
156;249210210;PUŁAWY DOLNE;Wisłok (226);49 29 24;21 54 26;395.0;krośnieński
157;249210220;WYSZOWADKA;Wisłoka (218);49 27 14;21 25 15;506.0;jasielski
158;249210230;WYSOWA;Ropa (2182);49 26 17;21 10 21;519.0;gorlicki
159;249210240;BARWINEK;Jasiołka (2184);49 25 52;21 41 05;465.0;krośnieński
160;249210250;JAŚLISKA;Jasiołka (2184);49 26 24;21 48 36;440.0;krośnieński
161;249210260;TYLICZ;Poprad (2142);49 23 32;21 00 32;585.0;nowosądecki
162;249210270;WISŁOK WIELKI;Wisłok (226);49 22 43;21 59 57;540.0;sanocki
163;249210280;Kunkowa;Przysłopianka (218232);49 33 00;21 07 29;413.0;gorlicki
164;249210340;Krempna;Wisłoka (218);49 30 59;21 29 03;380.0;jasielski
165;249210350;Moszczaniec;Wisłok (226);49 25 20;21 54 46;467.0;krośnieński
166;249210370;Ropica Górna;Sękówka (21826);49 35 46;21 13 53;357.0;gorlicki
167;249210390;Uście Gorlickie;Ropa (2182);49 31 37;21 07 55;398.0;gorlicki
168;249210420;Smerekowiec;Ropa (2182);49 30 19;21 14 02;451.0;gorlicki
169;249220010;KAŃCZUGA;Mleczka (2268);49 59 07;22 24 26;215.0;przeworski
170;249220040;DYNÓW;San (22);49 50 07;22 14 06;249.0;rzeszowski
171;249220060;BIRCZA;San (22);49 41 14;22 28 52;324.0;przemyski
172;249220070;RYBOTYCZE;Wiar (224);49 39 16;22 38 24;289.0;przemyski
173;249220080;SANOK-TREPCZA;San (22);49 35 05;22 11 07;307.0;sanocki
174;249220110;NOWOTANIEC;Pielnica (22618);49 30 28;22 01 31;405.0;sanocki
175;249220120;LESZCZOWATE;San (22);49 30 26;22 32 52;486.0;bieszczadzki
176;249220130;Brzegi Dolne;Strwiąż (76);49 26 36;22 37 16;438.0;bieszczadzki
177;249220140;SZCZAWNE;Osława (222);49 23 56;22 08 49;395.0;sanocki
178;249220150;SOLINA-JAWOR;San (22);49 24 00;22 28 06;459.0;leski
179;249220160;TELEŚNICA OSZWAROWA;San (22);49 22 49;22 31 52;449.0;bieszczadzki
180;249220170;BALIGRÓD-MCHAWA;Hoczewka (2218);49 21 14;22 17 01;430.0;leski
181;249220180;KOMAŃCZA;Osława (222);49 20 21;22 03 48;478.0;sanocki
182;249220190;SAKOWCZYK;San (22);49 18 53;22 26 51;561.0;leski
183;249220210;TERKA;Solinka (2212);49 17 50;22 25 37;446.0;leski
184;249220220;POLANA;Czarna (22132);49 18 12;22 34 36;458.0;bieszczadzki
185;249220230;LUTOWISKA;San (22);49 14 35;22 41 00;666.0;bieszczadzki
186;249220240;ŻUBRACZE;San (22);49 12 32;22 16 18;623.0;leski
187;249220250;CISNA;Solinka (2212);49 12 46;22 19 52;549.0;leski
188;249220260;DWERNIK;San (22);49 13 15;22 38 02;543.0;bieszczadzki
189;249220270;KALNICA;Wetlina (22126);49 11 50;22 25 27;577.0;leski
190;249220280;STUPOSIANY;Wołosaty (22114);49 11 30;22 40 59;547.0;bieszczadzki
191;249220290;ROZTOKI GÓRNE;San (22);49 09 12;22 18 52;700.0;leski
192;249220310;WETLINA;San (22);49 08 41;22 28 19;708.0;leski
193;249220320;POŁONINA WETLIŃSKA;San (22);49 09 28;22 33 06;1226.0;leski
194;249220330;TARNAWA  NIŻNA;San (22);49 07 29;22 47 29;708.0;bieszczadzki
195;249220340;WOŁOSATE;San (22);49 03 51;22 41 09;752.0;bieszczadzki
196;249220350;WYŻNIAŃSKI WIERCH;San (22);49 07 19;22 35 09;913.0;bieszczadzki
197;249220360;BUKOWIEC ;Solinka (2212);49 18 21;22 24 49;435.0;leski
198;249220370;Zatwarnica;San (22);49 12 57;22 33 08;;bieszczadzki
199;250140010;Wyszków;Nysa Łużycka (174);50 58 03;14 59 35;330.0;zgorzelecki
